url_origem,regra_wcag_id,titulo_erro,seletor_css,snippet_html
https://ufal.br/editais,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,section#center-column > article#content > div#content-core > p.description,"<p class=""description"">"
https://ufal.br/documentos,link-in-text-block,Links rely on color to be distinguishable.,div#content-core > p.discreet > span > a,"<a href=""https://ufal.br/contact-info"">"
https://ufal.br/documentos,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,section#center-column > article#content > div#content-core > p.description,"<p class=""description"">"
https://ufal.br/documentos,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/servidor/documentos/outros/arquivo-central/codigo-de-class…"" class=""contenttype-file state-"">"
https://ufal.br/documentos,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/servidor/documentos/outros/arquivo-central/classificacao-t…"" class=""contenttype-file state-"">"
https://ufal.br/documentos,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/servidor/gestao-do-conhecimento/protocolo/guia-rapido-modu…"" class=""contenttype-file state-"">"
https://ufal.br/documentos,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/ufal/ensino/educacao-a-distancia/especializacoes-uab/defer…"" class=""contenttype-file state-"">"
https://ufal.br/documentos,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/servidor/avaliacao/estagio-probatorio/tecnico-administrati…"" class=""contenttype-file state-"">"
https://ufal.br/documentos,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/servidor/gestao-do-conhecimento/protocolo/processo-adminis…"" class=""contenttype-file state-"">"
https://ufal.br/perguntas-frequentes,link-in-text-block,Links rely on color to be distinguishable.,div#content-core > p.discreet > span > a,"<a href=""https://ufal.br/contact-info"">"
https://ufal.br/perguntas-frequentes,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,section#center-column > article#content > div#content-core > p.description,"<p class=""description"">"
https://ufal.br/perguntas-frequentes,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-folder,"<a href=""https://ufal.br/ouvidoria/perguntas-frequentes"" class=""contenttype-folder state-published"">"
https://ufal.br/perguntas-frequentes,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-folder,"<a href=""https://ufal.br/servidor/gestao-do-conhecimento/protocolo/memorando-eletro…"" class=""contenttype-folder state-published"">"
https://ufal.br/perguntas-frequentes,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-link,"<a href=""https://ufal.br/servidor/gestao-do-conhecimento/financeiro/pagtesouro-1/co…"" class=""contenttype-link state-published"">"
https://ufal.br/perguntas-frequentes,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-document,"<a href=""https://ufal.br/estudante/assistencia-estudantil/publicacoes/pagamento-de-…"" class=""contenttype-document state-published"">"
